Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:48:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:42     all    3.54    0.00    1.16    0.00    0.00    0.54    0.00    0.00    0.00   94.76
21:49:42       0    1.38    0.00    0.98    0.00    0.00    3.54    0.00    0.00    0.00   94.09
21:49:42       1    1.42    0.00    0.61    0.00    0.00    1.01    0.00    0.00    0.00   96.96
21:49:42       2    2.01    0.00    1.21    0.00    0.00    0.40    0.00    0.00    0.00   96.38
21:49:42       3    6.83    0.00    2.01    0.00    0.00    0.40    0.00    0.00    0.00   90.76
21:49:42       4    4.03    0.00    1.21    0.00    0.00    0.40    0.00    0.00    0.00   94.35
21:49:42       5    8.54    0.00    1.83    0.00    0.00    0.20    0.00    0.00    0.00   89.43
21:49:42       6    3.62    0.00    1.41    0.00    0.00    0.20    0.00    0.00    0.00   94.77
21:49:42       7    9.72    0.00    1.82    0.00    0.00    0.40    0.00    0.00    0.00   88.06
21:49:42       8    2.42    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   96.57
21:49:42       9    1.61    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   97.78
21:49:42      10    1.64    0.00    0.82    0.00    0.00    0.21    0.00    0.00    0.00   97.33
21:49:42      11    3.63    0.00    1.21    0.00    0.00    0.20    0.00    0.00    0.00   94.96
21:49:42      12    2.41    0.00    1.21    0.00    0.00    0.20    0.00    0.00    0.00   96.18
21:49:42      13    3.41    0.00    1.41    0.00    0.00    0.60    0.00    0.00    0.00   94.58
21:49:42      14    1.62    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   97.58
21:49:42      15    2.42    0.00    0.81    0.00    0.00    0.40    0.00    0.00    0.00   96.36

21:49:42     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:47     all    3.53    0.00    1.11    0.08    0.00    0.58    0.00    0.00    0.00   94.71
21:49:47       0    1.38    0.00    0.59    0.00    0.00    3.56    0.00    0.00    0.00   94.47
21:49:47       1    1.61    0.00    0.81    0.00    0.00    1.21    0.00    0.00    0.00   96.37
21:49:47       2    2.22    0.00    1.01    0.00    0.00    0.40    0.00    0.00    0.00   96.37
21:49:47       3    5.84    0.00    2.01    0.00    0.00    0.40    0.00    0.00    0.00   91.75
21:49:47       4    4.25    0.00    1.01    0.40    0.00    0.40    0.00    0.00    0.00   93.93
21:49:47       5    5.44    0.00    1.81    0.00    0.00    0.60    0.00    0.00    0.00   92.14
21:49:47       6    4.61    0.00    1.20    0.40    0.00    0.20    0.00    0.00    0.00   93.59
21:49:47       7    7.85    0.00    1.81    0.00    0.00    0.20    0.00    0.00    0.00   90.14
21:49:47       8    2.01    0.00    0.80    0.20    0.00    0.20    0.00    0.00    0.00   96.79
21:49:47       9    2.82    0.00    1.01    0.00    0.00    0.40    0.00    0.00    0.00   95.77
21:49:47      10    2.25    0.00    1.02    0.00    0.00    0.41    0.00    0.00    0.00   96.32
21:49:47      11    6.44    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   92.35
21:49:47      12    1.62    0.00    0.61    0.20    0.00    0.20    0.00    0.00    0.00   97.36
21:49:47      13    4.23    0.00    1.41    0.00    0.00    0.40    0.00    0.00    0.00   93.95
21:49:47      14    2.02    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   96.77
21:49:47      15    1.83    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   97.36

21:49:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:52     all    3.54    0.00    1.15    0.01    0.00    0.48    0.00    0.00    0.00   94.82
21:49:52       0    1.19    0.00    0.79    0.00    0.00    3.37    0.00    0.00    0.00   94.65
21:49:52       1    2.24    0.00    0.61    0.00    0.00    0.81    0.00    0.00    0.00   96.34
21:49:52       2    2.21    0.00    0.80    0.00    0.00    0.40    0.00    0.00    0.00   96.58
21:49:52       3    6.10    0.00    1.63    0.00    0.00    0.20    0.00    0.00    0.00   92.07
21:49:52       4    5.45    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   93.33
21:49:52       5    7.23    0.00    2.21    0.00    0.00    0.20    0.00    0.00    0.00   90.36
21:49:52       6    4.02    0.00    1.20    0.00    0.00    0.40    0.00    0.00    0.00   94.38
21:49:52       7    7.65    0.00    1.81    0.00    0.00    0.80    0.00    0.00    0.00   89.74
21:49:52       8    2.42    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   96.37
21:49:52       9    2.42    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.57
21:49:52      10    1.65    0.00    1.03    0.00    0.00    0.21    0.00    0.00    0.00   97.11
21:49:52      11    4.03    0.00    1.41    0.00    0.00    0.20    0.00    0.00    0.00   94.35
21:49:52      12    3.04    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   96.15
21:49:52      13    3.42    0.00    1.41    0.00    0.00    0.20    0.00    0.00    0.00   94.97
21:49:52      14    2.22    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   96.57
21:49:52      15    1.42    0.00    0.81    0.20    0.00    0.00    0.00    0.00    0.00   97.57

21:49:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:49:57     all    3.51    0.00    1.16    0.15    0.00    0.55    0.00    0.00    0.00   94.63
21:49:57       0    1.38    0.00    0.59    0.20    0.00    3.54    0.00    0.00    0.00   94.29
21:49:57       1    1.83    0.00    0.61    0.00    0.00    0.81    0.00    0.00    0.00   96.75
21:49:57       2    1.62    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   97.37
21:49:57       3    8.22    0.00    1.60    0.00    0.00    0.60    0.00    0.00    0.00   89.58
21:49:57       4    4.63    0.00    1.41    0.00    0.00    0.40    0.00    0.00    0.00   93.56
21:49:57       5    6.45    0.00    2.02    1.01    0.00    0.40    0.00    0.00    0.00   90.12
21:49:57       6    5.25    0.00    2.22    0.00    0.00    0.40    0.00    0.00    0.00   92.12
21:49:57       7    7.85    0.00    1.61    0.00    0.00    0.20    0.00    0.00    0.00   90.34
21:49:57       8    2.00    0.00    1.00    0.00    0.00    0.20    0.00    0.00    0.00   96.79
21:49:57       9    2.01    0.00    0.60    0.00    0.00    0.40    0.00    0.00    0.00   96.98
21:49:57      10    2.04    0.00    1.02    0.00    0.00    0.41    0.00    0.00    0.00   96.53
21:49:57      11    2.61    0.00    1.00    0.00    0.00    0.40    0.00    0.00    0.00   95.99
21:49:57      12    2.42    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   96.37
21:49:57      13    4.22    0.00    1.61    0.20    0.00    0.20    0.00    0.00    0.00   93.78
21:49:57      14    2.02    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   97.38
21:49:57      15    1.61    0.00    0.81    1.01    0.00    0.40    0.00    0.00    0.00   96.17

21:49:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:50:02     all    4.96    0.00    2.54    0.19    0.00    0.53    0.00    0.00    0.00   91.79
21:50:02       0    2.77    0.00    1.98    0.00    0.00    2.97    0.00    0.00    0.00   92.28
21:50:02       1    3.03    0.00    2.02    0.00    0.00    0.81    0.00    0.00    0.00   94.14
21:50:02       2    3.63    0.00    2.22    0.00    0.00    0.40    0.00    0.00    0.00   93.75
21:50:02       3    7.10    0.00    4.26    0.41    0.00    0.41    0.00    0.00    0.00   87.83
21:50:02       4    6.24    0.00    2.62    1.01    0.00    0.40    0.00    0.00    0.00   89.74
21:50:02       5    6.88    0.00    2.63    0.20    0.00    0.40    0.00    0.00    0.00   89.88
21:50:02       6    6.02    0.00    2.61    0.00    0.00    0.40    0.00    0.00    0.00   90.96
21:50:02       7    7.11    0.00    3.25    0.20    0.00    0.41    0.00    0.00    0.00   89.02
21:50:02       8    4.03    0.00    1.61    0.20    0.00    0.40    0.00    0.00    0.00   93.75
21:50:02       9    3.03    0.00    2.63    0.00    0.00    0.20    0.00    0.00    0.00   94.14
21:50:02      10    3.29    0.00    2.26    0.00    0.00    0.21    0.00    0.00    0.00   94.24
21:50:02      11    5.06    0.00    2.63    0.00    0.00    0.00    0.00    0.00    0.00   92.31
21:50:02      12    4.63    0.00    2.21    0.00    0.00    0.40    0.00    0.00    0.00   92.76
21:50:02      13    7.71    0.00    3.85    0.61    0.00    0.41    0.00    0.00    0.00   87.42
21:50:02      14    4.81    0.00    1.40    0.40    0.00    0.40    0.00    0.00    0.00   92.99
21:50:02      15    4.03    0.00    2.42    0.00    0.00    0.20    0.00    0.00    0.00   93.35

21:50:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:50:07     all    3.62    0.00    1.16    0.08    0.00    0.55    0.00    0.00    0.00   94.59
21:50:07       0    1.96    0.00    0.98    0.00    0.00    3.73    0.00    0.00    0.00   93.32
21:50:07       1    2.03    0.00    0.81    0.00    0.00    1.01    0.00    0.00    0.00   96.15
21:50:07       2    2.42    0.00    1.21    0.20    0.00    0.20    0.00    0.00    0.00   95.97
21:50:07       3    8.06    0.00    2.62    0.00    0.00    0.40    0.00    0.00    0.00   88.91
21:50:07       4    4.84    0.00    0.81    0.00    0.00    0.40    0.00    0.00    0.00   93.95
21:50:07       5    4.44    0.00    1.21    0.40    0.00    0.40    0.00    0.00    0.00   93.55
21:50:07       6    2.83    0.00    1.01    0.00    0.00    0.40    0.00    0.00    0.00   95.75
21:50:07       7    4.60    0.00    1.80    0.60    0.00    0.40    0.00    0.00    0.00   92.60
21:50:07       8    1.82    0.00    0.61    0.00    0.00    0.20    0.00    0.00    0.00   97.37
21:50:07       9    1.62    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   97.37
21:50:07      10    1.65    0.00    0.41    0.00    0.00    0.21    0.00    0.00    0.00   97.74
