Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:29:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:31:04     all    2.65    0.00    1.84    0.01    0.00    0.39    0.00    0.00    0.00   95.11
21:31:04       0    2.19    0.00    1.79    0.00    0.00    1.99    0.00    0.00    0.00   94.04
21:31:04       1    2.22    0.00    1.62    0.00    0.00    1.01    0.00    0.00    0.00   95.15
21:31:04       2    2.63    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   95.95
21:31:04       3    5.03    0.00    2.41    0.00    0.00    0.60    0.00    0.00    0.00   91.95
21:31:04       4    3.01    0.00    2.20    0.00    0.00    0.40    0.00    0.00    0.00   94.39
21:31:04       5    4.62    0.00    2.81    0.00    0.00    0.40    0.00    0.00    0.00   92.17
21:31:04       6    2.61    0.00    1.60    0.00    0.00    0.40    0.00    0.00    0.00   95.39
21:31:04       7    3.82    0.00    2.61    0.20    0.00    0.20    0.00    0.00    0.00   93.17
21:31:04       8    2.00    0.00    1.80    0.00    0.00    0.20    0.00    0.00    0.00   95.99
21:31:04       9    1.81    0.00    1.41    0.00    0.00    0.00    0.00    0.00    0.00   96.77
21:31:04      10    1.63    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.35
21:31:04      11    2.41    0.00    1.41    0.00    0.00    0.20    0.00    0.00    0.00   95.98
21:31:04      12    1.81    0.00    1.81    0.00    0.00    0.20    0.00    0.00    0.00   96.18
21:31:04      13    2.42    0.00    1.62    0.00    0.00    0.20    0.00    0.00    0.00   95.76
21:31:04      14    1.61    0.00    2.02    0.00    0.00    0.20    0.00    0.00    0.00   96.17
21:31:04      15    2.60    0.00    1.80    0.00    0.00    0.20    0.00    0.00    0.00   95.40

21:31:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:31:09     all    1.58    0.00    0.83    0.08    0.00    0.45    0.00    0.00    0.00   97.06
21:31:09       0    0.80    0.00    0.60    0.00    0.00    1.60    0.00    0.00    0.00   96.99
21:31:09       1    1.01    0.00    0.61    0.00    0.00    0.81    0.00    0.00    0.00   97.57
21:31:09       2    1.00    0.00    0.80    0.00    0.00    0.60    0.00    0.00    0.00   97.60
21:31:09       3    4.81    0.00    2.00    0.00    0.00    0.60    0.00    0.00    0.00   92.59
21:31:09       4    2.20    0.00    1.20    0.00    0.00    0.20    0.00    0.00    0.00   96.40
21:31:09       5    4.01    0.00    1.80    0.60    0.00    0.60    0.00    0.00    0.00   92.99
21:31:09       6    1.81    0.00    0.81    0.00    0.00    0.40    0.00    0.00    0.00   96.98
21:31:09       7    3.00    0.00    1.40    0.00    0.00    0.60    0.00    0.00    0.00   95.00
21:31:09       8    0.80    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.79
21:31:09       9    0.40    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.99
21:31:09      10    0.61    0.00    0.41    0.00    0.00    0.20    0.00    0.00    0.00   98.78
21:31:09      11    1.21    0.00    0.61    0.20    0.00    0.20    0.00    0.00    0.00   97.77
21:31:09      12    0.60    0.00    0.80    0.00    0.00    0.20    0.00    0.00    0.00   98.39
21:31:09      13    1.21    0.00    0.60    0.40    0.00    0.40    0.00    0.00    0.00   97.38
21:31:09      14    1.01    0.00    0.61    0.00    0.00    0.40    0.00    0.00    0.00   97.98
21:31:09      15    0.81    0.00    0.20    0.00    0.00    0.20    0.00    0.00    0.00   98.79

21:31:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:31:14     all    1.60    0.00    0.79    0.01    0.00    0.33    0.00    0.00    0.00   97.27
21:31:14       0    1.20    0.00    0.40    0.00    0.00    1.40    0.00    0.00    0.00   97.00
21:31:14       1    1.01    0.00    0.81    0.00    0.00    0.40    0.00    0.00    0.00   97.78
21:31:14       2    0.61    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   98.38
21:31:14       3    4.44    0.00    1.62    0.00    0.00    0.40    0.00    0.00    0.00   93.54
21:31:14       4    1.81    0.00    1.01    0.00    0.00    0.60    0.00    0.00    0.00   96.58
21:31:14       5    4.56    0.00    2.38    0.00    0.00    0.60    0.00    0.00    0.00   92.46
21:31:14       6    2.20    0.00    1.00    0.00    0.00    0.40    0.00    0.00    0.00   96.41
21:31:14       7    2.01    0.00    1.21    0.00    0.00    0.20    0.00    0.00    0.00   96.58
